Name,Platform,Year_of_Release,Genre,Publisher,North_America_Sales,Europe_Sales,Japan_Sales,Other_Regions_Sales,Total_Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006-01-01,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,Nintendo,E
Super Mario Bros.,NES,1985-01-01,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Mario Kart Wii,Wii,2008-01-01,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E
Wii Sports Resort,Wii,2009-01-01,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996-01-01,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Tetris,GB,1989-01-01,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
New Super Mario Bros.,DS,2006-01-01,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E
Wii Play,Wii,2006-01-01,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E
New Super Mario Bros. Wii,Wii,2009-01-01,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E
Duck Hunt,NES,1984-01-01,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Nintendogs,DS,2005-01-01,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,70.0,29.5,7.177777777777777,26.333333333333332,Ubisoft,E
Mario Kart DS,DS,2005-01-01,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999-01-01,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Wii Fit,Wii,2007-01-01,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E
Kinect Adventures!,X360,2010-01-01,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E
Wii Fit Plus,Wii,2009-01-01,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E
Grand Theft Auto V,PS3,2013-01-01,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004-01-01,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,Rockstar North,M
Super Mario World,SNES,1990-01-01,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Brain Age: Train Your Brain in Minutes a Day,DS,2005-01-01,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006-01-01,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,82.75,34.833333333333336,8.541666666666666,205.83333333333334,Atlus,M
Super Mario Land,GB,1989-01-01,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Super Mario Bros. 3,NES,1988-01-01,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Grand Theft Auto V,X360,2013-01-01,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002-01-01,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,GBA,2002-01-01,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,77.28571428571429,36.142857142857146,8.506666666666668,120.6,Capcom,T
Brain Age 2: More Training in Minutes a Day,DS,2005-01-01,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E
Pokemon Black/Pokemon White,DS,2010-01-01,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,82.75,34.833333333333336,8.541666666666666,205.83333333333334,Atlus,M
Gran Turismo 3: A-Spec,PS2,2001-01-01,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011-01-01,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,GB,1998-01-01,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,68.9971185166625,26.440992232523175,7.126899879372738,163.0088459991958,Unknown,E
Call of Duty: Black Ops 3,PS4,2015-01-01,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,74.6923076923077,37.19230769230769,7.268000000000001,443.68,Gearbox Software,M
Call of Duty: Black Ops,X360,2010-01-01,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M
